Scrippt Name (Diagnosis),Pediatric/Adult,Category,Pathophysiology,Epidemiology,Signs/Symptoms,Diagnostics,Treatments,Links,Image URL
Primary sclerosing cholangitis(PSC),Both,Gastroenterology,"Progressive destruction of intrahepatic and extrahepatic bile ducts leading to fibrosis and cirrhosis
",Risk factors: ulcerative colitis; male > female,"Asymptomatic; fatigue, pruritus, RUQ pain; fever, night sweats,
jaundice, xanthomas","Increased ALP, GGT, cholesterol normal AST and ALT, positive pANCA; ERCP shows “beads on string"" appearance","Endoscopic stenting of strictures; surgical resection, liver transplant ",https://pubmed.ncbi.nlm.nih.gov/29452711/,
Portal hypertension,Adult,Gastroenterology,"Increase in portal vein pressure giving it higher pressure than the inferior vena cava; may result from prehepatic, intrahepatic, or posthepatic causes
",,"Ascites, abdominal pain, hepatic encephalopathy, hematemesis, abdominal wall varices, testicular atrophy, gynecomastia","Paracentesis shows ascites with SAAG >1.1, CT may show ascites and obstructing mass; EGD may show esophageal varices","Salt restriction and diuretics, IV antibiotics for bacterial peritonitis, Dialysis for renal failure, hepatic shunting, liver transplant ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3000670/,
Hemochromatosis,Both,Gastroenterology,"An autosomal recessive disease characterized by excess iron absorption causing iron deposition in the liver, pancreas, heart, and pituitary
",Prevalence is 1 in 300-500 individuals,"Polydipsia, polyuria, arthralgias, impotence, lethargy;
pigmented rash, hepatomegaly","Increased iron, ferritin, transferrin saturation, AST and ALT; biopsy shows increased iron content in liver","Phlebotomy until normal iron, deferoxamine for iron chelation",https://basicmedicalkey.com/hereditary-hemochromatosis-2/,
Wilson disease,Adult,Gastroenterology,"Autosomal recessive disorder of impaired copper secretion, primarily in young adults, Excess copper deposits in liver, brain, cornea","Prevalence of 1 per 30,000 live births ","Depression, neurosis, loss of coordination, dysphagia, tremor, Kayser-Fleischer rings, hepatomegaly; ","Decreased serum ceruloplasmin, increased urinary copper, AST and ALT; copper deposits in liver on biopsy","Trientine or penicillamine, lifelong zinc, vitamin B6; liver transplantation ","https://pubmed.ncbi.nlm.nih.gov/20301685/
https://www.youtube.com/watch?v=OYaDTnxTKag",
a1-Antitrypsin deficiency,Both,Gastroenterology,Co-dominant disorder with decreased a1-antitrypsin production leading to cirrhosis and panlobular emphysema,"Family History of AAT, males greater than females, often presents in early 30's with pulmonary symptoms, worse in smokers. ","Emphysema, chronic bronchitis, chronic hepatitis, cirrhosis, skin panniculitis",Increased AST and ALT; PFTs demonstrate obstructive disease,"Liver transplant or lung transplant, enzyme replacement ",https://pubmed.ncbi.nlm.nih.gov/20301692/,
Pyloric stenosis,Pediatric,Gastroenterology,Hypertrophy of pyloric sphincter causing obstruction of gastric outlet,Incidence is 2-4 per 1000 live births,"Symptoms begin a few weeks after birth; nonbilious emesis, projectile emesis; palpable epigastric olive-sized mass","Hypochloremic, hypokalemic metabolic alkalosis
barium swallow shows string sign", Pyloromyotomy,https://www.ncbi.nlm.nih.gov/books/NBK555931/,
Necrotizing enterocolitis,Pediatric,Gastroenterology,"Idiopathic mucosal necrosis and epithelial cell sloughing
","Risk factors: preterm birth, low birth weight","bilious vomiting, lethargy, poor feeding, diarrhoea, hematochezia; abdominal distention","metabolic acidosis, decreased Na, AXR shows bowel distention, air in bowel wall","TPN, IV antibiotics, antibiotics, nasogastric suction, surgical resection ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3628622/,
Hirschsprung disease,Pediatric,Gastroenterology,Absence of bowel autonomic innervation causing bowel spasm and obstruction,"1/5,000 births","vomiting, obstipation, failure to pass stool; abdominal distention","Bowel biopsy shows absence of ganglia, AXR demonstrates dilated bowel; barium enema shows proximal dilation with distal narrowing",Colostomy and resection of affected area,https://www.aafp.org/afp/2006/1015/p1319.html,
Intussusception,Pediatric,Gastroenterology,"Telescoping of bowel into adjacent segment of bowel, leading to obstruction
","Risk factors: Meckel diverticulum, Henoch-Schönlein purpura, adenovirus infection, cystic fibrosis","sudden abdominal pain that lasts ,1 min and is episodic; pallor, sweating, vomiting, bloody mucus in stool (i.e., currant jelly stool); abdominal tenderness; palpable, sausage-like abdominal mass","Increased WBC, barium enema will show obstruction; US/CT may detect abnormal bowel",Barium enema may reduce defect; surgery if required,https://www.aafp.org/afp/1998/0901/p659a.html,
Meckel diverticulum,Pediatric,Gastroenterology,Common remnant of vitelline duct that exists as outpouching of ileum and may contain ectopic tissue,About 2% of the population. Prevalence in males is 3–5 times higher than in females.,"Asymptomatic; occasionally presents with painless rectal bleeding,
intussusception, diverticulitis, or abscess formation
","Gastric mucosa may be detected by technetium radionucleotide scan (i.e., Meckel scan)",Surgical resection if symptomatic,https://www.aafp.org/afp/2000/0215/p1037.html,
Dyslipidemia,Adult,Cardiology,"high LDL, low HDL, increased risk of ischemia due to diet, can be genetic","men > 35, women >45","asymptomatic, xanthelasmas, emboli in retina","total cholesterol > 300; elevated LDL, decreased HDL","low fat, low cholesterol diet, statin therapy",https://www.aafp.org/afp/1998/0501/p2192.html,
Atherosclerosis,Adult,Cardiology,gradual narrowing of arteries and plaque formation,">50% of people over 40, risk increases with age.","angina, hypertension, strokes","stress testing, echocardiogram, angiography of coronaries","decrease risk factors, (hypertension, hypercholesterolemia, hyperglycemia tx)",https://www.aafp.org/afp/2006/0601/p1971.html,
Angina pectoris,Adult,Cardiology,chest pain during exertion,"males > females, associated with coronary artery disease",substernal radiating chest pain during exertion,cardiac stress test,sublingual nitroglycerin,https://www.aafp.org/afp/2018/0315/p376.html,
Unstable Angina,Adult,Cardiology,"angina that occurs with rest, typically plaque rupture or thrombosis in coronary arteries","Men > Women, typically increases with age, hx of stable angina that is now progressively worsening","increasing frequency of angina, and symptomatic when at rest. ","ECG shows T wave flattening and ST depression, ","Morphine, O2, Nitroglycerin, ASA, B-Blockers",https://www.aafp.org/afp/2009/0815/p383.html,
Myocardial Infarction,Adult,Cardiology,coronary vessels occlude which causes ischemia and death of cardiac tissue,"Men > Women, higher risk if having HTN, DM, or family history. Postmenopausal females higher risk. ","""elephant on chest"" pain, diaphoresis, shortness of breath","ST elevation, T wave changes, LBBB on ECG
Serial Cardiac Enzymes","Morphine, O2, ASA, Nitroglycerin, Heparin, B-Blocker, Statin, and anti-platelet therapy like clopidogrel",https://www.aafp.org/afp/2017/0201/p170.html,
Paroxysmal supraventricular tachycardia ,Adult,Cardiology,AV nodal reentry phenomena causing tachycardia (>100),"typically young, healthy patients","sudden tachycardia, can cause SOB, Diaphoresis, syncope","ECG: >100 BPM, normal QRS, P-waves can be hidden in T waves","Valsalva, IV Adenosine, possibly calcium channel blocker, or cardioversion",https://www.aafp.org/afp/2015/1101/p793.html,
Multifocal atrial tachycardia,Adult,Cardiology,multiple ectopic foci throughout the atria discharging electrical impulses,"Predominately male, older patients, relatively rare",asymptomatic mostly,ECG: a variety of shaped P waves with tachycardia,"Ca Channel or B-Blockers, catheter ablation",https://www.ncbi.nlm.nih.gov/books/NBK459152/,
Atrial fibrillation (Afib),Adult,Cardiology,loss of coordination of atrial contractions,"elderly predominance, comorbidities: HTN, CAD, Rheumatic heart disease, alcohol use","irregularly irregular pulse, often asymptomatic","ECG: irregular rate, no discernible P waves ","Rate Control: Ca-Blockers, and Anticoagulation",https://www.aafp.org/afp/2016/0915/p442.html,
Atrial flutter ,Adult,Cardiology,Rapid firing of an ectopic focus in the atria,"Incidence rates ranged from 5/100,000 in those <50 years old to 587/100,000 in subjects older than 80","Palpitations, syncope
Risk Factors: Congestive heart failure (CHF), COPD, valvular disease, pericarditis","Regular tachycardia>150 bpm, sawtooth pattern of P waves","Calcium channel blockers, b-blockers; ",https://www.aafp.org/afp/2011/0701/p63.html,
Premature ventricular contraction,Adult,Cardiology,Ectopic beats from a ventricular origin,"Incidence varies between 100 to 400 per 100,000 individuals worldwide","Palpitations, syncope",ECG: early and wide QRS without preceding P wave ,None if patient is healthy; b-blockers in patients with CAD,https://www.aafp.org/afp/2002/0615/p2491.html,
Ventricular tachycardia,Adult,Cardiology,"Series of 31 PVCs with HR 160 to 240 bpm
Risk factors: CAD, history of MI",3% in men and 2% in women with no cardiovascular disease.,"Palpitations, syncope, hypotension","Series of regular, wide QRS complexes independent of P waves ","Electrical cardioversion, for recurrent Vtach, internal defibrillator ",https://www.aafp.org/afp/2000/0115/p535.html,
Ventricular fibrillation,Adult,Cardiology,"Lack of ordered ventricular contraction leads, ","Risk factors: CAD, MI","Syncope, hypotension, pulselessness",ECG: Totally erratic tracing; no P waves or QRS,"CPR, immediate electric cardioversion",https://doi.org/10.3389/fphar.2019.01640,
Congestive heart failure,Adult,Cardiology,"The heart muscle doesn't pump blood affectively, Risk factors5 CAD, HTN, COPD, drug toxicity, alcohol use","1 to 2% in middle-aged and older adults, reaches 2 to 3% in patients older than age 65 years","Orthopnea, paroxysmal nocturnal dyspnea, jugular vein distention (JVD), rales, peripheral edema, ","Increased IBNP and N-terminal pro-BNP , Radiology: chest X-ray (CXR) shows Cardiomegally, Kerley B lines, ECG: ischemic disease, possible LVH","Treat the underlying cause, Loop diuretics and ACE-I, calcium channel blocker",https://www.aafp.org/afp/topicModules/viewTopicModule.htm?topicModuleId=26,
Acute pericarditis,Adult,Cardiology,Acute inflammation of the pericardial sac accompanied by pericardial effusion,"Incidence approximately 27.7 per 100,000 individuals "," pleuritic chest pain, pulsus paradoxus, decreased stroke volume,   decreased inspiratory systolic blood pressure","ECG: global ST elevation, PR depression, effusion on echocardiogram","Treat underlying cause; pericardiocentesis for large effusions, NSAIDs",https://www.aafp.org/afp/2002/1101/p1695.html,
Chronic constrictive pericarditis,Adult,Cardiology,Diffuse thickening of pericardium with possible calcifications leads to decreased diastolic filling and decreased CO.,"Incidence 0.76 cases per 1,000 person-years ","JVD, orthopnea, peripheral edema), Kussmaul sign","Cardiac catheterization shows equal pressure in all chambers,  pericardial calcifications on CXR, CT/MRI pericardial thickening","NSAIDs, colchicine, corticosteroids; surgical excision of pericardium ",https://dx.doi.org/10.1155%2F2013%2F957497,
Cardiac tamponade,Adult,Cardiology,"Pericardial effusion resulting in greatly decreased CO, acute pericarditis,chest trauma, etc","2 cases per 10,000 population in the United States","Dyspnea, tachycardia, tachypnea; JVD, pulsus paradoxus","Enlarged cardiac silhouette on CXR. ECG: low voltage, sinus tachycardia; electrical alternans ",Immediate pericardiocentesis,https://www.ncbi.nlm.nih.gov/books/NBK431090/,
Myocarditis,Adult,Cardiology,Inflammatory reaction in heart limited to cardiac muscle ,"10 to 20 cases per 100,000 persons","Patient may report history of recent upper respiratory infection; pleuritic chest pain, dyspnea, S3 or S4 heart sound, possible diastolic murmur, possible friction  rub","ST- and T-wave changes on ECG, conduction abnormalities,  cardiomegaly on CXR, myocardial biopsy shows myocyte inflammation",Treat the underlying cause,https://www.ncbi.nlm.nih.gov/books/NBK441847/,
Acute rheumatic fever,Adult,Cardiology,Post-streptococcal-A valvular infection ,Incidence is low in the United States because of antibiotic treatment.,"Migratory arthritis, hot and swollen joints, subcutaneous nodules on extensor surfaces, Sydenham chorea, erythema marginatum ","Increased ESR, CRP, WBC count; 90% of patients have antistreptococcal antibodies, increased PR interval on ECG","NSAIDs, use corticosteroids,  b-lactam (penicillin family) in severe carditis",https://www.aafp.org/afp/2005/0515/p1949.html,
Endocarditis,Adult,Cardiology,Bacterial infection of endocardium with or without valve involvement,"Common in patients with congenital heart defects, intravenous drug abuse, or prosthetic valves","arthralgias, new murmur, Osler nodes, Janeway lesions,splinter hemorrhages, Roth spots","Increased ESR; increased CRP, congestion consistent with septic emboli and right-sided heart failure on CXR","long-term (4 to 6 weeks) IV antibiotics (initially broad spectrum, then bug specific",https://www.aafp.org/afp/2012/0515/p981.html,
Primary (essential) HTN,Adult,Cardiology,HTN that by definition has no identifiable secondary cause. Accounts for >95% all cases of HTN,"Risk factors: family history of HTN, high-salt diet (especially if salt sensitive), tobacco use, obesity, increased age; blacks . whites","Headache, blood pressure >140/90 mm Hg; arteriovenous nicking  cotton-wool spots, or  flame hemorrhage on funduscopic examination; loud S2, possible S4",systolic B.P >140 mm Hg and/or diastolic B.P >90 mm Hg,"Weight loss, exercise, salt restriction, smoking cessation, and alcohol reduction, Thiazide diuretic, calcium channel blocker, ACE-I",https://www.aafp.org/family-physician/patient-care/clinical-recommendations/all-clinical-recommendations/highbloodpressure.html,
Abdominal aortic aneurysm,Adult,Cardiology,Localized dilation of aorta (>3cm),"Tobacco use, age >55 years, atherosclerosis, HTN, family history","Lower back pain; pulsating abdominal mass, abdominal bruits; hypotension and severe pain occur with any rupture",US/CT/MRI for detection of location and size,"Surgical repair, if symptomatic or >5.5 cm diameter in men or >5.0 cm in women",https://www.aafp.org/afp/2015/0415/p538.html,
Ventricular septal defect (VSD),Pediatric,Cardiology,Congenital defect resulting in opening of ventricular septum allowing shunting of blood ,2-6 of every 1000 live births,"Frequent respiratory infections, pansystolic murmur at lower left sternal border, loud pulmonic S2, systolic thrill","Left and right ventricular hypertrophy, echocardiogram shows shunt",Diuretics or ACE-I ,https://www.ncbi.nlm.nih.gov/books/NBK470330/,
Atrial septal defect (ASD),Pediatric,Cardiology,Opening in atrial septum allowing movement of blood between atria ,"Incidence worldwide is 56 per 100,000 live births","Cyanosis, heart failure symptoms, strong impulse at lower left sternal border, wide fixed split S2, systolic ejection murmur at upper left sternal border","Right axis deviation, echocardiogram shows dilated RV and large heart, increased pulmonary vascular markings caused by pulmonary HTN seen on CXR",Possible Antibiotic prophylaxis before surgery or dental work; surgical closure for symptomatic defects,https://www.ncbi.nlm.nih.gov/books/NBK535440/,
Patent ductus arteriosus (PDA) copyPersistenttruncusarteriosus,Pediatric,Cardiology,"Failure of ductus arteriosus to close after birth, Left-to-right shunt","Risk factors: prematurity, high altitude, first-trimester maternal rubella, maternal prostaglandin administration; females>males","Asymptomatic, heart failure symptoms, continuous “machinery” murmur, loud S2, bounding pulses"," LVH,  cardiomegaly on CXR; echocardiogram shows large left atrium (LA) and LV; angiography confirms diagnosis",indomethacin induces closure; surgical closure if unresponsive,https://doi.org/10.1016/j.jpeds.2016.12.033,
Tetralogy of Fallot,Pediatric,Cardiology,"VSD, RVH, overriding aorta, RV outflow obstruction ","Risk factors: Down syndrome, cri-du-chat syndrome, trisomy 13 and 18","Cyanosis, children squat for relief during hypoxemic episodes; systolic ejection murmur, RV lift, single S2","Right axis deviation, boot-shaped heart on CXR","PGE to maintain PDA; O2, propranolol, IV fluids, morphine, knee-to-chest positioning during cyanotic episodes; surgical correction",https://dx.doi.org/10.1186%2F1750-1172-4-2,
Transposition of the Great Vessels,Pediatric,Cardiology,"Parallel pulmonary and systemic circulations; aorta connected to RV; pulmonary artery connected to LV, ","Risk factors: Apert syndrome, Down syndrome, cri-du-chat syndrome, trisomy 13 or 18",cyanosis after birth; cyanosis worsens as PDA closes; loud S2,"Narrow heart base, abnormal pulmonary markings on CXR; echocar-diogram used for diagnosis",Keep PDA open with prostaglandin E; balloon atrial septostomy to widen VSD; prompt surgical correction,https://ojrd.biomedcentral.com/articles/10.1186/1750-1172-3-27,
Tricuspid atresia,Pediatric,Cardiology,"Failure of the tricuspid valve to form accompanied by ASD, VSD, and right ventricular hypoplasia",Prevalence of 0.3-3.7% in patients with congenital heart disease.,"Cyanosis, holosystolic murmur from the VSD",Echocardiography shows the defect(s),Surgical correction,https://doi.org/10.1111/jocs.14673,
Total anomalous pulmonary venous return,Pediatric,Cardiology,Pulmonary veins fail to empty into the left atrium and instead empty into the systemic venous circulation,"Incidence of TAPVC ranges from 0.6 to 1.2 per 10,000 live births","Cyanosis, respiratory failure, shock; may have systolic and diastolic murmur, hepatomegaly from right ventricular heart failure",Echocardiogram or angiography used for diagnosis, Surgical correction,https://pedclerk.bsd.uchicago.edu/page/peripheral-pulmonic-stenosis-pps,
Endocardial cushion defect,Pediatric,Cardiology,"Malformation of atrioventricular valves, atrial septum, ventricular septum during fetal development ",Found in 20% of children with Down syndrome,"ASD, heart failure symptoms, pneumonitis; murmurs consistent with a particular defect","ECG: left axis deviation, echocardiogram or cardiac catheterization used for diagnosis",Surgical correction,https://doi.org/10.1378/chest.65.1.13,
Otitis media,Both,ENT,"Infection of middle ear caused by S.pneumoniae, H.influenzae, M. catarrhalis ,S. pyogenes, or viruses ","256/1000 person-years, Increased risk in children secondary to shorter and more horizontal ear canal than in adults; ","Ear pain, decreased hearing; bulging tympanic membrane with decreased mobility, poor light reflex, otorrhea",Patients history and clinical examination,"Supportive care, amoxicillin for 10 days",https://www.cochrane.org/CD000219/ARI_antibiotics-for-acute-middle-ear-infection-acute-otitis-media-in-children,
Otitis externa,Both,ENT,"“swimmer’s ear”
Infection of ear canal caused by S.aureus, Pseudomonas, or S. epidermidis; frequently associated with water in ears",Increased risk in swimmers,"painful, swollen ear with white discharge; ear canal is red and swollen; tenderness of pinna",Patient's history and clinical examination,"Topical polymyxin, neomycin, and hydrocortisone; oral cephalosporins, ciprofloxacin for Pseudomonas infection topical drying agents for recurrent infection",https://www.aafp.org/afp/2001/0301/p927.html,
Benign paroxysmal positional vertigo (BPPV),Adult,ENT,Vertigo caused by a dislodged otolith in the inner ear that interferes with semicircular canal stabilization,The lifetime prevalence of BPPV id 2.4%,"Brief, episodic vertigo, Nystagmus, Dix-Hallpike maneuver","Dix-Hallpike maneuver on clinical examination, CT or MRI can rule out intracranial lesion4.",Physical maneuvers designed to free otolith from semicircular canal can alleviate recurrent episodes,https://www.aafp.org/afp/2006/0115/p244.html,
Ménière disease,Adult,ENT,Vertigo caused by distension of the endolymphatic compartment of the inner ear,"worldwide incidence 12/1,000 people.","Acute vertigo, decreased hearing, feeling of ear fullness, tinnitus ",Audiometry shows low-frequency hearing loss,"anticholinergics, antiemetics, and antihistamines, salt restriction and thiazide diuretics, surgical decompression ","https://www.aafp.org/afp/2017/0201/p154.html
https://www.youtube.com/watch?v=qrk7OyAB_ss",
Acoustic neuroma,Adult,ENT,Benign tumor of Schwann cells of CN VIII,Incidence of 0.3 to 1 per 100 000 population per year.,"Hearing loss, dizziness, tinnitus; unilateral facial palsy; decreased sensation may be seen on examination","Sensorineural hearing loss on audiometry, MRI can localize the tumor","Surgical excision,","https://www.aafp.org/afp/2014/0115/p106.html
https://altairhealth.com/glasser-center/acoustic-neuroma/",
Schizophrenia,Adult,Psychiatry,"Severe psychosis that causes significant limitations in functional ability

","Begins in late adolescence or early adulthood, family history, maternal malnutrition, or illness during pregnancy, etc","Delusions, Hallucinations, Disorganized thoughts or speech, Disorganized or catatonic behavior, Negative symptoms.",Diagnosis requires the presence of two or more symptoms for at least 1 month within a 6-month period and impaired social function for >6 months.,"Antipsychotics, Psychotherapy ",,
Schizoaffective disorder,Adult,Psychiatry,"Psychosis characterized by at least two of the symptoms
of schizophrenia concurrent with a major depressive or manic episode","lifetime prevalence of only 0.3%, men=women","Paranoid thoughts. delusions, hallucinations, catatonia, speaking too quickly, depression or irritability.",at least two of the symptoms of schizophrenia ,"Antipsychotic drug, psychotherapy, CBT",https://www.ncbi.nlm.nih.gov/books/NBK541012/,
Major depressive disorder ,Both,Psychiatry,Experience of significant depression that lasts  >2 weeks and impacts social and/or occupational function,most common mental health disorder,"Feelings of sadness, hopelessness. angry outbursts, irritability, loss of interest, sleep disturbances","Presence of five of the following symptoms lasting>2 weeks; Depressed mood, .Anhedonia, Change in sleep patterns, feelings of guilt, Fatigue, inability to concentrate, changes in appetite, Psychomotor retardation or agitation, suicidal ideation","Psychotherapy, Pharmacologic therapy, Electroconvulsive therapy (ECT)",https://www.aafp.org/afp/2018/1015/p508.html,
Bipolar disorder,Adult,Psychiatry,Cyclic episodes of depression and mania (or hypomania) that impair the patient’s ability to function,bipolar disorders are most common in persons younger than 25 years. The mean age at symptom onset is 18 years in bipolar I disorder and 22 years in bipolar II disorder.,"Elevated, expansive mood, grandiosity, pressured speech, decreased need for sleep, flight of ideas, increased goal-oriented activity
","Bipolar I: at least one manic episode; episodes of major depressive 
Bipolar II: at least one hypomanic episode and at least one major depressive episode.","Mood stabilizers, atypical antipsychotics, Lithium",https://www.aafp.org/afp/2012/0301/p483.html,
Panic disorder,Both,Psychiatry,"Experience of recurrent, spontaneous panic attacks with associated fear that these episodes will occur",Begins in late adolescence.,"Recurrent, unexpected panic attacks that last up to 30 minutes, chest pain, shortness of breath, palpitations, diaphoresis, nausea, dizziness, paresthesias, etc",History of recurrent episodes plus a persistent fear that attacks will happen again.,"CBT, SSRI's, benzodiazapines",https://www.aafp.org/afp/2005/0215/p733.html,
Generalized anxiety disorder,Adult,Psychiatry,"Excessive,  persistent anxiety  that occur more days than not for  >6 months and impairs ability to function","Women 2x > men, typically begins in early adulthood.","Restlessness or feeling “on edge,” fatigue, inability to concentrate,  muscle tension, sleep disturbance","excessive anxiety for most days, impairment of ability to function, and three of the symptoms listed above for >6 months",CBT; SSRIs or SNRIs; buspirone,https://www.youtube.com/watch?v=9mPwQTiMSj8,
Social anxiety disorder,Adult,Psychiatry,Excessive fear or anxiety about social situations ,Early onset in childhood or early adolescence and generally becomes chronic. Common (12% lifetime incidence),"Panic attacks, patients avoid these situations and have a persistent fear of being embarrassed.",History and examination,"CBT, SSRIs (First Line)  β-Blockers",https://pubmed.ncbi.nlm.nih.gov/19935490/,
Obsessive-Compulsive disorder,Adult,Psychiatry,Presence of obsessions and/or compulsions that cause impairment in function and affect daily life,Prevalence of 2-3% in the US,Stressful events can exacerbate compulsive behaviours. Patients are aware of compulsive behaviours but feel unable to control them.,Presence of obsessions or compulsions that significantly affect daily life,"CBT, SSRIs",,
Body Dysmorphic Disorder,Adult,Psychiatry,Preoccupation with a perceived defect in physical appearance that limits ability to function; typically begins in adolescence,typically begins in adolescence,The patient performs repetitive behaviours) related to the concerns about his or her appearance.,History and clinical examination,"Psychotherapy, Antidepressants",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6343413/,
Posttraumatic stress disorder,Adult,Psychiatry,Complex syndrome of symptoms that occurs following psychological trauma  ,female-to-male lifetime prevalence ratio of 2:1 ,"Intrusive memories; recurrent, distressing dreams; flashbacks,  Avoidance of activities, Persistent negative alterations in cognition associated with the event.",History and examination,"CBT, SSRI or SNRI; atypical antipsychotics",https://www.aafp.org/afp/2013/1215/p827.html,
Münchausen syndrome,Both,Psychiatry,Falsification of physical or psychological signs or symptoms of a disease or injury in the absence of clear benefit to the patient,"The majority of children affected are <5, ~85% of the time the mother is the perpetrator. ",The patient reports symptoms or signs of a given disease and attempts to induce the disease process,"Signs/Symptoms projected on another that is feigned, or fraudulent. Individual Presents the victim as ill, with no obvious external reward. tend to have recurrent episodes","Psychotherapy, limited medical care, CPS often involved. 
Consider Video EEG while hospitalized as a means of capturing abuse on film. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5875173/,
Anorexia nervosa,Adult,Psychiatry,"An eating disorder characterized by a distorted body image, Intense fear of gaining weight or reduced caloric intake relative to energy requirements ","Risk factors: adolescence, high socioeconomic status; 90% of cases are women","low body weight, severe body image disturbance, amenorrhea, cold intolerance, hypothermia, dry skin, bradycardia ","Weight loss, electrolyte abnormalities, bradycardia. See DSM-IV criteria in links","Inpatient: fix electrolyte abnormalities, AVOID REFEEDING syndrome. Stabilize and transfer to inpatient psych, or with good outpatient plan. 
outpatient: multidisciplinary approach with pcp, therapy, nutritionist. intensive outpatient management. remember to hide the scale from the patient at visits! ",https://www.aafp.org/afp/2015/0101/p46.html,
Bulimia nervosa,Adult,Psychiatry,"Eating disorder characterized by binge eating, Inappropriate compensatory behaviors, Unhealthy preoccupation with weight and body shape",sociocultural pressures to be thin and the promotion of dieting appear to increase risk.,"Dental enamel erosion, scars on hands, parotid enlargement and oligomenorrhea.",Bingeing–compensation episodes occur at least once a week for >3 months," Nutritional counselling; psychotherapy, SSRI's TCAs","https://www.aafp.org/afp/1998/0601/p2743.html
https://www.aafp.org/afp/2007/0601/p1699.html",
Binge eating disorder,Both,Psychiatry,Eating disorder characterized by uncontrollable episodes of binge eating without inappropriate compensatory behaviours,high risk-group: 15–19-year-old girls,Overweight or obese due to excessive caloric intake,uncontrollable episodes of binge eating without inappropriate compensatory behaviors,"psycotherapy, SSRIs",https://pubmed.ncbi.nlm.nih.gov/26258270/,
Autism spectrum disorder,Pediatric,Psychiatry,"Severe, persistent impairment in social communication and interpersonal interactions ","genetic heritability of ASD range from 40% to 90%. In utero risks include valproate (Depacon) exposure, maternal infections, traffic-related air pollution, and pesticide exposure"," Emerge between six and 12 months of age. In many cases, a reliable diagnosis can be made by 24 months of age. Symptoms are impaired social interactions and communication, restricted behaviors",Important to screen at well-child visits. MCHAT at 18-24 months of age. ,"Behavior, speech, and social psychotherapy, antipsychotics. Refer to multidisciplinary team. ",https://www.aafp.org/afp/2016/1215/p972.html,
Attention deficit hyperactivity disorder (ADHD),Both,Psychiatry,Disorder of inattention and hyperactivity in school-aged children that causes prob-lems in multiple settings,Risk factors:  two to four times more common in males than females,"Inattention: decreased attention span,difficulty following instructions, care-lessness in tasks, easily losing items, forgetfulness, poor listening, Hyperactivity and impulsivity: fidgetiness etc.",Six inattention symptoms or six hyperactivity or impulsivity symptoms ,"Behavioral therapy, methylphenidate, dexmethylphenidate, α2-Adrenergic agonists, and TCAs",https://www.aafp.org/afp/2014/1001/p456.html,
Tourette syndrome,Both,Psychiatry,Chronic tic disorder beginning in childhood; associated with ADHD and OCD,one in five children has had a tic at some point in the first 10 years of life. three to nine times more frequent in males than in females. mean age of onset 6-7 years. ,"Multiple motor (e.g., blinking, twitching, etc.) and vocal (e.g., sounds, words) tics that occur every day and worsen with stress; location, frequency, etc",Presence of tics for >1 year and beginning before patient is 18 years of age,"Behavioural therapy, fluphenazine, pimozide, or tetrabenazine, SSRIs and α2-agonists ",https://www.aafp.org/afp/1999/0415/p2263.html,
Conduct disorder,Both,Psychiatry,Repetitive disruptive and antisocial behavior that violates others’ rights and social norms,onset during either childhood or adolescence.,"Aggressive behaviour toward people or animals, destruction of property,deceitfulness","DSM-IV Criteria: Symptoms repeatedly manifest (3 or more of the criteria) in the last 12 months, or 3 or more within 6 months (see links for full list of symptoms)",Psychotherapy involving family and parent management training; psychostimulants,https://www.aafp.org/afp/2001/0415/p1579.html,
Drowning,Both,Emergency Med,"Hypoxemia resulting from submersion in some type of fluid, usually water, or aspiration of any type of liquid. Causes pulmonary damage","3rd leading cause of death, accounting for 7% of all injury-related deaths. 4000 deaths annually in US. ","Dyspnea, cyanosis, decreased consciousness; the patient may not be breathing or  cardiac arrest","limited and primarily focuses on respiratory function, get CORE body temp, electrolytes and CXR often normal. ","Secure airway and perform resuscitation; supplemental O2, nasogastric tube placement, maintenance of adequate body temperature",https://www.aafp.org/afp/2016/0401/p576.html,
Burns,Both,Emergency Med,"Injury to epithelial surface and deeper tissues caused by exposure to significant heat, radiation, caustic chemicals, or electrical shock","500,000 people a year seek burn care in the US. 92% outpatient",According to the degree of burn,Rule of 9s; Assess dehydration. ,"Cooling and cleansing, topical antimicrobials, intravenous [IV] hydration, wound care, possible escharotomy, Plastic reconstructive surgery with skin grafting may be needed.",https://www.aafp.org/afp/2012/0101/p25.html,
Choking,Both,Emergency Med,Aspiration of foreign body into trachea or bronchi preventing normal gas exchange,"Food is a common cause in all ages; toys, coins, and other small objects are common in children.","Gagging, coughing, or wheezing that progresses to stridor with increased severity of obstruction","CXR useful in identifying the item and determining location, bronchoscopy may visualize the item","Calm the patient, Heimlich maneuver, tracheotomy, Rigid bronchoscopy, IV corticosteroids ",,
